111017	家居服/内衣	1110
111018	泳装	1110
111019	男装套装	1110
112010	美容工具	1120
112004	洗发护发	1120
112005	香水	1120
112006	彩妆	1120
112002	身体护肤	1120
112007	其他美容用品	1120
112001	面部护肤	1120
112008	保健用品	1120
112003	口腔护理	1120
112009	护肤	1120
113021	科幻图书测试	1130
113001	图书	1130
113017	经管励志	1130
113018	科技科普	1130
113019	生活艺术	1130
113006	教辅	1130
113007	工具书	1130
113008	文化	1130
113020	外文原版书	1130
113009	工作学习	1130
113010	生活	1130
113011	童书	1130
113012	外语	1130
113013	文学小说	1130
113014	童书教育	1130
113015	人文社科	1130
113005	其他图书	1130
113004	游戏	1130
113003	电脑软件	1130
113016	教材教辅	1130
113002	唱片影片	1130
114003	儿童表	1140
114002	女表	1140
114005	其他珠宝饰品	1140
114001	男表	1140
114004	珠宝	1140
114006	其他手表配饰	1140
115011	口琴	1150
115010	电子琴	1150
115009	古筝	1150
115008	吉他	1150
115007	钢琴	1150
115006	桌游	1150
115001	玩具	1150
115000	其他乐器	1150
115014	小提琴	1150
115013	二胡	1150
115012	架子鼓	1150
116009	赛事演出	1160
116035	出行券	1160
116034	出行券	1160
116033	电影券	1160
116032	音乐视频码	1160
116031	美食饮品券	1160
116030	超市卡	1160
116029	其他电子券	1160
116028	视频会员	1160
116027	电商购物卡	1160
116026	话费卡	1160
116025	游戏卡	1160
116024	加油卡	1160
116023	电商卡	1160
116022	话费卡	1160
116021	Q币充值	1160
116020	流量充值	1160
116019	话费充值	1160
116018	电影券	1160
116017	商超券	1160
116016	甜品券	1160
116015	咖啡券	1160
116014	美食券	1160
116013	加油卡	1160
116012	洗衣卡	1160
116011	蛋糕/甜点卡	1160
116010	美容美发卡	1160
116008	早教卡	1160
116007	景点门票	1160
116006	演出门票	1160
116005	健身卡	1160
116004	洗车卡	1160
116003	超市/购物卡	1160
116002	电影票	1160
116001	体育赛事	1160
116000	其他卡券	1160
117001	艺术文玩	1170
117003	文玩杂项	1170
117004	邮票钱币	1170
117005	废弃	1170
117006	玉翠珠宝	1170
117007	废弃	1170
117008	废弃	1170
117009	废弃	1170
117010	废弃	1170
117011	紫砂陶瓷	1170
117012	废弃	1170
117013	废弃	1170
117014	废弃	1170
117015	茶酒滋补	1170
117002	书画篆刻	1170
117000	其他	1170
118001	狗狗用	1180
118003	花鸟鱼虫用	1180
118002	猫猫用	1180
119002	三星平板	1190
119003	小米平板	1190
119004	华为平板	1190
119005	戴尔平板	1190
119006	其他分类	1190
119007	华硕平板	1190
119008	联想平板	1190
119009	诺基亚平板	1190
119010	海尔平板	1190
119011	谷歌平板	1190
119012	微软平板	1190
119013	步步高平板	1190
119014	LG平板	1190
119001	苹果平板	1190
120001	轿车	1200
120002	suv	1200
120003	mpv	1200
120004	跑车	1200
120005	面包车	1200
120006	电动汽车	1200
120007	皮卡	1200
120008	卡车	1200
120009	其他	1200
121003	短租/日租	1210
121004	车位	1210
121005	商铺租售	1210
121006	厂房/仓库/土地	1210
121002	单间	1210
121001	整租	1210
121007	其他	1210
122009	其他	1220
122001	家政护理	1220
122002	教育培训	1220
122003	it服务	1220
122004	语言翻译	1220
122005	占卜	1220
122006	买房装修	1220
122007	宠物美容	1220
122008	运动健身	1220
123001	游戏账号	1230
123002	游戏道具	1230
123003	游戏币	1230
123004	游戏代练	1230
123005	租号玩	1230
123006	礼包/激活码/CDK	1230
123007	首充号（安卓）	1230
123008	游戏陪玩	1230
123009	装备交易	1230
123010	自抽号	1230
123011	游戏周边	1230
123012	主机游戏2	1230
123013	代充	1230
123014	主机游戏	1230
124001	360-1	1240
127012	求购其他	1270
127014	求购数码	1270
127015	求购交通工具	1270
127016	求购母婴用品	1270
127001	手机	1270
127013	求购手机	1270
127002	数码	1270
127003	服装鞋帽	1270
127004	交通工具	1270
127005	母婴用品	1270
127006	家用电器	1270
127007	电脑	1270
127008	平板电脑	1270
127009	玩具乐器	1270
127010	宠物用品	1270
127011	运动户外	1270
128012	手机（赚多多）	1280
128014	蔬果生鲜（赚多多）	1280
128015	珠宝配饰（赚多多）	1280
128016	艺术文玩（赚多多）	1280
128017	平板电脑（赚多多）	1280
128018	票务卡券（赚多多）	1280
128019	汽车（赚多多）	1280
128020	游戏交易（赚多多）	1280
128021	数码（赚多多）	1280
128022	图书音像（赚多多）	1280
128023	食品保健（赚多多）	1280
128024	车载设备（赚多多）	1280
128013	玩具乐器（赚多多）	1280
128001	办公用品（赚多多）	1280
128002	电脑（赚多多）	1280
128003	服装鞋帽（赚多多）	1280
128004	花鸟鱼虫（赚多多）	1280
128005	技能服务（赚多多）	1280
128006	家居家具（赚多多）	1280
128007	家用电器（赚多多）	1280
128008	交通工具（赚多多）	1280
128009	美妆个护（赚多多）	1280
128010	运动户外（赚多多）	1280
128011	母婴用品（赚多多）	1280
129012	其他	1290
129011	食品	1290
129010	鞋包	1290
129009	图书	1290
129008	电器	1290
129007	母婴	1290
129006	服装	1290
129005	美妆	1290
129004	配饰	1290
129003	卡券	1290
129002	数码	1290
129001	家居	1290
130001	摩托车	1300
131001	电动车	1310
-999954	李宁	10000010
-999963	adidas originals	10000010
-999961	CONVERSE	10000010
-999957	Under Armour	10000010
-999958	Reebok	10000010
-999660	VEJA	10000010
-999661	STARTER	10000010
-999662	Onitsuka Tiger	10000010
-999959	Puma	10000010
-999669	FILA	10000010
-999679	Balenciaga	10000010
-999962	Asics	10000010
-999955	安踏	10000010
-999956	Vans	10000010
-999960	New Balance	10000010
-999998	adidas	10000010
-999997	Jordan	10000010
-999996	Nike	10000010
-999681	Bape	10000020
-999659	N3xt L3V3L	10000020
-999977	D lillard	10000020
-999976	StanSmith	10000020
-999994	Ultra Boost	10000020
-999993	pure boost	10000020
-999969	拖鞋	10000020
-999970	EQT	10000020
-999697	Tubular	10000020
-999971	adidas Iniki	10000020
-999972	Superstar	10000020
-999553	其他	10000020
-999964	Raf Simons	10000020
-999966	crazy light boost	10000020
-999973	Falcon	10000020
-999974	Yung-1	10000020
-999967	Crazy Explosive	10000020
-999975	Harden	10000020
-999968	adidas D rose	10000020
-999965	4D	10000020
-999663	Marquee Boost	10000020
-999658	Speedfactory	10000020
-999981	NMD	10000020
-999671	Deerupt	10000020
-999980	adidas T-mac	10000020
-999979	Crazy BYW	10000020
-999657	Rivalry	10000020
-999978	Pharrell	10000020
-999905	Air Jordan 13	10000030
-999990	Air Jordan 3	10000030
-999991	Air Jordan 2	10000030
-999992	Air Jordan 1	10000030
-999906	Air Jordan 31	10000030
-999707	Jordan  Air Jordan 4	10000030
-999706	Jordan  Air Jordan 7	10000030
-999705	Jordan  Air Jordan 8	10000030
-999704	Jordan  Air Jordan 10	10000030
-999703	Jordan  Air Jordan 14	10000030
-999900	Air Jordan 5	10000030
-999908	Air Jordan 19	10000030
-999695	Air Jordan 7	10000030
-999901	Air Jordan 23	10000030
-999694	Air Jordan 8	10000030
-999693	Air Jordan 10	10000030
-999692	Air Jordan 14	10000030
-999690	Air Jordan 4	10000030
-999685	Nike other	10000030
-999937	Think 16	10000030
-999936	套装	10000030
-999935	Jordan CP3	10000030
-999932	Air Jordan 21	10000030
-999931	Westbrook	10000030
-999930	Air Jordan 29	10000030
-999929	Jordan Melo	10000030
-999909	Air Jordan 18	10000030
-999925	Air Jordan 9	10000030
-999924	TEAM	10000030
-999923	Air Max	10000030
-999922	Air Jordan 33	10000030
-999921	Air Jordan 12	10000030
-999920	Air Jordan 20	10000030
-999552	其他	10000030
-999919	Air Jordan 11	10000030
-999918	Air Jordan 2009	10000030
-999917	Air Force	10000030
-999916	Air Jordan 28	10000030
-999915	Season Of Her	10000030
-999903	The Ten	10000030
-999899	Legacy	10000030
-999898	Air Jordan 22	10000030
-999910	Air Jordan 2	10000030
-999897	Air Jordan 17	10000030
-999911	Air Jordan 2012	10000030
-999912	Air Jordan 13 Low	10000030
-999896	Air Jordan 30	10000030
-999904	Air Jordan 16	10000030
-999902	Air Jordan 15	10000030
-999895	Air Jordan 6	10000030
-999913	Air Jordan 2011	10000030
